Jenis Handphone,Harga,Storage,Ukuran_Layar_(inchi),Kamera_Utama_(mp),Kapasitas_Baterai_(mah),Kamera_Depan_(mp),Kondisi,Tipe,Merek
google pixel 4a,7900000,128,5.81,12,3140,8,Like new,android,google
lg g7+,5750000,128,6.1,16,3000,8,Like new,android,lg
lg velvet,6900000,128,6.8,48,4300,16,Well used,android,lg
lg velvet,6000000,128,6.8,48,4300,16,Lightly used,android,lg
OPPO A12,2100000,32,6.22,13,4230,5,Like new,android,oppo
OPPO A15,875000,64,6.52,13,4230,5,Well used,android,oppo
OPPO A16,1150000,32,6.52,13,5000,8,Lightly used,android,oppo
OPPO A16,1000000,32,6.52,13,5000,8,Lightly used,android,oppo
OPPO A16,1600000,32,6.52,13,5000,8,Like new,android,oppo
OPPO A16,2200000,32,6.52,13,5000,8,Lightly used,android,oppo
OPPO A16,1300000,32,6.52,13,5000,8,Like new,android,oppo
OPPO a16,1400000,32,6.52,13,5000,8,Like new,android,oppo
OPPO A16,1200000,64,6.52,13,5000,8,Well used,android,oppo
OPPO A17,600000,64,6.22,13,5000,8,Heavily used,android,oppo
OPPO A17,800000,64,6.22,13,5000,8,Like new,android,oppo
OPPO A17,2000000,64,6.22,13,5000,8,Well used,android,oppo
OPPO A17,1500000,64,6.22,13,5000,8,Lightly used,android,oppo
OPPO A17,1000000,64,6.22,13,5000,8,Well used,android,oppo
OPPO A17,1200000,64,6.22,13,5000,8,Heavily used,android,oppo
oppo a31,19000000,128,6.5,12,4230,8,Like new,android,oppo
OPPO A39,700000,32,5.2,13,2900,5,Well used,android,oppo
OPPO A3s,1000000,64,6.2,13,4230,8,Lightly used,android,oppo
oppo a5,1650000,64,6.2,13,4230,8,Well used,android,oppo
oppo a5,6100000,128,6.2,13,4230,8,Like new,android,oppo
OPPO a55,800000,64,6.51,13,5000,8,Well used,android,oppo
OPPO A57,1900000,32,5.2,13,2900,16,Like new,android,oppo
OPPO A57,2300000,32,5.2,13,2900,16,Well used,android,oppo
OPPO A57,1100000,32,5.2,13,2900,16,Well used,android,oppo
OPPO A57,1400000,64,5.2,13,2900,16,Like new,android,oppo
OPPO A57,650000,64,5.2,13,2900,16,Well used,android,oppo
OPPO A57,700000,64,5.2,13,2900,16,Well used,android,oppo
OPPO a57,2550000,64,5.2,13,2900,16,Like new,android,oppo
OPPO A57,1890000,64,5.2,13,2900,16,Well used,android,oppo
OPPO A57,800000,64,5.2,13,2900,16,Well used,android,oppo
OPPO a57,500000,64,5.2,13,2900,16,Heavily used,android,oppo
OPPO A57,1200000,64,5.2,13,2900,16,Like new,android,oppo
oppo a57,3200000,128,5.2,13,2900,16,Well used,android,oppo
oppo a57,4200000,128,5.2,13,2900,16,Lightly used,android,oppo
